IP,Weather Description,Temperature,Location,Things To Do
162.159.137.43,Partly cloudy,23,Toronto,"{'THE BEST 10 Kids Activities near Wilson, NY - Last Updated August ...': 'https://www.yelp.com/search?cflt=kids_activities&find_loc=Wilson%2C+NY', 'Top 10 Best Shopping near Toronto, ON M1P 1S9, Canada - July ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=Toronto%2C+ON+M1P+1S9%2C+Canada', 'Top 10 Best Shopping near 447 Bellamy Rd N, Toronto, ON ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=Bellamy+Road+N+447%2C+Toronto%2C+ON+M1H+1W2%2C+Canada', 'Top 10 Best Things to Do near City Park, New Orleans, LA - August ...': 'https://www.yelp.com/search?find_desc=things+to+do&find_loc=City+Park%2C+Orleans+Parish%2C+LA', 'Best Things to Do near Law Offices Of Joseph C Bartels in New ...': 'https://www.yelp.com/search?find_desc=Things+to+Do&find_near=law-offices-of-joseph-c-bartels-new-orleans', 'Top 10 Best Shopping near 126 Bellamy Rd N, Toronto, ON M1J ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=817--126+Bellamy+Road+N%2C+Toronto%2C+ON+M1J+2L1%2C+Canada', 'Top 10 Best Shopping near 111 Railside Rd, 305, Toronto, ON ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=305-111+Railside+Road%2C+Toronto%2C+ON+M3A+1B3%2C+Canada', 'TOP 10 BEST Shopping near 2250 Midland Ave, Unit 29, Toronto ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=29-2250+Midland+Avenue%2C+Toronto%2C+ON+M1P+4R9%2C+Canada', 'Top 10 Best Shopping near 885 Progress Ave, 206, Toronto, ON ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=206-885+Progress+Avenue%2C+Toronto%2C+ON+M1H+3G3%2C+Canada', 'Top 10 Best Shopping near 1971 Kingston Rd, 1919, Toronto, ON ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=1919-1971+Kingston+Road%2C+Toronto%2C+ON+M1N+1G8%2C+Canada'}"
162.159.138.43,Partly cloudy,23,Toronto,"{'THE BEST 10 Kids Activities near Wilson, NY - Last Updated August ...': 'https://www.yelp.com/search?cflt=kids_activities&find_loc=Wilson%2C+NY', 'Top 10 Best Shopping near Toronto, ON M1P 1S9, Canada - July ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=Toronto%2C+ON+M1P+1S9%2C+Canada', 'Top 10 Best Shopping near 447 Bellamy Rd N, Toronto, ON ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=Bellamy+Road+N+447%2C+Toronto%2C+ON+M1H+1W2%2C+Canada', 'Top 10 Best Things to Do near City Park, New Orleans, LA - August ...': 'https://www.yelp.com/search?find_desc=things+to+do&find_loc=City+Park%2C+Orleans+Parish%2C+LA', 'Best Things to Do near Law Offices Of Joseph C Bartels in New ...': 'https://www.yelp.com/search?find_desc=Things+to+Do&find_near=law-offices-of-joseph-c-bartels-new-orleans', 'Top 10 Best Shopping near 126 Bellamy Rd N, Toronto, ON M1J ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=817--126+Bellamy+Road+N%2C+Toronto%2C+ON+M1J+2L1%2C+Canada', 'Top 10 Best Shopping near 111 Railside Rd, 305, Toronto, ON ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=305-111+Railside+Road%2C+Toronto%2C+ON+M3A+1B3%2C+Canada', 'TOP 10 BEST Shopping near 2250 Midland Ave, Unit 29, Toronto ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=29-2250+Midland+Avenue%2C+Toronto%2C+ON+M1P+4R9%2C+Canada', 'Top 10 Best Shopping near 885 Progress Ave, 206, Toronto, ON ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=206-885+Progress+Avenue%2C+Toronto%2C+ON+M1H+3G3%2C+Canada', 'Top 10 Best Shopping near 1971 Kingston Rd, 1919, Toronto, ON ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=1919-1971+Kingston+Road%2C+Toronto%2C+ON+M1N+1G8%2C+Canada'}"
162.159.133.41,Partly cloudy,23,Toronto,"{'THE BEST 10 Kids Activities near Wilson, NY - Last Updated August ...': 'https://www.yelp.com/search?cflt=kids_activities&find_loc=Wilson%2C+NY', 'Top 10 Best Shopping near Toronto, ON M1P 1S9, Canada - July ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=Toronto%2C+ON+M1P+1S9%2C+Canada', 'Top 10 Best Shopping near 447 Bellamy Rd N, Toronto, ON ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=Bellamy+Road+N+447%2C+Toronto%2C+ON+M1H+1W2%2C+Canada', 'Top 10 Best Things to Do near City Park, New Orleans, LA - August ...': 'https://www.yelp.com/search?find_desc=things+to+do&find_loc=City+Park%2C+Orleans+Parish%2C+LA', 'Best Things to Do near Law Offices Of Joseph C Bartels in New ...': 'https://www.yelp.com/search?find_desc=Things+to+Do&find_near=law-offices-of-joseph-c-bartels-new-orleans', 'Top 10 Best Shopping near 126 Bellamy Rd N, Toronto, ON M1J ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=817--126+Bellamy+Road+N%2C+Toronto%2C+ON+M1J+2L1%2C+Canada', 'Top 10 Best Shopping near 111 Railside Rd, 305, Toronto, ON ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=305-111+Railside+Road%2C+Toronto%2C+ON+M3A+1B3%2C+Canada', 'TOP 10 BEST Shopping near 2250 Midland Ave, Unit 29, Toronto ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=29-2250+Midland+Avenue%2C+Toronto%2C+ON+M1P+4R9%2C+Canada', 'Top 10 Best Shopping near 885 Progress Ave, 206, Toronto, ON ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=206-885+Progress+Avenue%2C+Toronto%2C+ON+M1H+3G3%2C+Canada', 'Top 10 Best Shopping near 1971 Kingston Rd, 1919, Toronto, ON ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=1919-1971+Kingston+Road%2C+Toronto%2C+ON+M1N+1G8%2C+Canada'}"
162.159.134.41,Partly cloudy,23,Toronto,"{'THE BEST 10 Kids Activities near Wilson, NY - Last Updated August ...': 'https://www.yelp.com/search?cflt=kids_activities&find_loc=Wilson%2C+NY', 'Top 10 Best Shopping near Toronto, ON M1P 1S9, Canada - July ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=Toronto%2C+ON+M1P+1S9%2C+Canada', 'Top 10 Best Shopping near 447 Bellamy Rd N, Toronto, ON ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=Bellamy+Road+N+447%2C+Toronto%2C+ON+M1H+1W2%2C+Canada', 'Top 10 Best Things to Do near City Park, New Orleans, LA - August ...': 'https://www.yelp.com/search?find_desc=things+to+do&find_loc=City+Park%2C+Orleans+Parish%2C+LA', 'Best Things to Do near Law Offices Of Joseph C Bartels in New ...': 'https://www.yelp.com/search?find_desc=Things+to+Do&find_near=law-offices-of-joseph-c-bartels-new-orleans', 'Top 10 Best Shopping near 126 Bellamy Rd N, Toronto, ON M1J ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=817--126+Bellamy+Road+N%2C+Toronto%2C+ON+M1J+2L1%2C+Canada', 'Top 10 Best Shopping near 111 Railside Rd, 305, Toronto, ON ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=305-111+Railside+Road%2C+Toronto%2C+ON+M3A+1B3%2C+Canada', 'TOP 10 BEST Shopping near 2250 Midland Ave, Unit 29, Toronto ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=29-2250+Midland+Avenue%2C+Toronto%2C+ON+M1P+4R9%2C+Canada', 'Top 10 Best Shopping near 885 Progress Ave, 206, Toronto, ON ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=206-885+Progress+Avenue%2C+Toronto%2C+ON+M1H+3G3%2C+Canada', 'Top 10 Best Shopping near 1971 Kingston Rd, 1919, Toronto, ON ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=1919-1971+Kingston+Road%2C+Toronto%2C+ON+M1N+1G8%2C+Canada'}"
162.159.137.43,Partly cloudy,23,Toronto,"{'THE BEST 10 Kids Activities near Wilson, NY - Last Updated August ...': 'https://www.yelp.com/search?cflt=kids_activities&find_loc=Wilson%2C+NY', 'Top 10 Best Shopping near Toronto, ON M1P 1S9, Canada - July ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=Toronto%2C+ON+M1P+1S9%2C+Canada', 'Top 10 Best Shopping near 447 Bellamy Rd N, Toronto, ON ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=Bellamy+Road+N+447%2C+Toronto%2C+ON+M1H+1W2%2C+Canada', 'Top 10 Best Things to Do near City Park, New Orleans, LA - August ...': 'https://www.yelp.com/search?find_desc=things+to+do&find_loc=City+Park%2C+Orleans+Parish%2C+LA', 'Top 10 Best Shopping near 126 Bellamy Rd N, Toronto, ON M1J ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=817--126+Bellamy+Road+N%2C+Toronto%2C+ON+M1J+2L1%2C+Canada', 'Best Things to Do near Law Offices Of Joseph C Bartels in New ...': 'https://www.yelp.com/search?find_desc=Things+to+Do&find_near=law-offices-of-joseph-c-bartels-new-orleans', 'Top 10 Best Shopping near 111 Railside Rd, 305, Toronto, ON ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=305-111+Railside+Road%2C+Toronto%2C+ON+M3A+1B3%2C+Canada', 'TOP 10 BEST Shopping near 2250 Midland Ave, Unit 29, Toronto ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=29-2250+Midland+Avenue%2C+Toronto%2C+ON+M1P+4R9%2C+Canada', 'Top 10 Best Shopping near 885 Progress Ave, 206, Toronto, ON ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=206-885+Progress+Avenue%2C+Toronto%2C+ON+M1H+3G3%2C+Canada', 'Top 10 Best Shopping near 1971 Kingston Rd, 1919, Toronto, ON ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=1919-1971+Kingston+Road%2C+Toronto%2C+ON+M1N+1G8%2C+Canada'}"
162.159.138.43,Partly cloudy,23,Toronto,"{'THE BEST 10 Kids Activities near Wilson, NY - Last Updated August ...': 'https://www.yelp.com/search?cflt=kids_activities&find_loc=Wilson%2C+NY', 'Top 10 Best Shopping near Toronto, ON M1P 1S9, Canada - July ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=Toronto%2C+ON+M1P+1S9%2C+Canada', 'Top 10 Best Shopping near 447 Bellamy Rd N, Toronto, ON ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=Bellamy+Road+N+447%2C+Toronto%2C+ON+M1H+1W2%2C+Canada', 'Top 10 Best Things to Do near City Park, New Orleans, LA - August ...': 'https://www.yelp.com/search?find_desc=things+to+do&find_loc=City+Park%2C+Orleans+Parish%2C+LA', 'Best Things to Do near Law Offices Of Joseph C Bartels in New ...': 'https://www.yelp.com/search?find_desc=Things+to+Do&find_near=law-offices-of-joseph-c-bartels-new-orleans', 'Top 10 Best Shopping near 126 Bellamy Rd N, Toronto, ON M1J ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=817--126+Bellamy+Road+N%2C+Toronto%2C+ON+M1J+2L1%2C+Canada', 'Top 10 Best Shopping near 111 Railside Rd, 305, Toronto, ON ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=305-111+Railside+Road%2C+Toronto%2C+ON+M3A+1B3%2C+Canada', 'TOP 10 BEST Shopping near 2250 Midland Ave, Unit 29, Toronto ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=29-2250+Midland+Avenue%2C+Toronto%2C+ON+M1P+4R9%2C+Canada', 'Top 10 Best Shopping near 885 Progress Ave, 206, Toronto, ON ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=206-885+Progress+Avenue%2C+Toronto%2C+ON+M1H+3G3%2C+Canada', 'Top 10 Best Shopping near 1971 Kingston Rd, 1919, Toronto, ON ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=1919-1971+Kingston+Road%2C+Toronto%2C+ON+M1N+1G8%2C+Canada'}"
162.159.137.43,Partly cloudy,23,Toronto,"{'THE BEST 10 Kids Activities near Wilson, NY - Last Updated August ...': 'https://www.yelp.com/search?cflt=kids_activities&find_loc=Wilson%2C+NY', 'Top 10 Best Shopping near Toronto, ON M1P 1S9, Canada - July ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=Toronto%2C+ON+M1P+1S9%2C+Canada', 'Top 10 Best Shopping near 447 Bellamy Rd N, Toronto, ON ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=Bellamy+Road+N+447%2C+Toronto%2C+ON+M1H+1W2%2C+Canada', 'Top 10 Best Things to Do near City Park, New Orleans, LA - August ...': 'https://www.yelp.com/search?find_desc=things+to+do&find_loc=City+Park%2C+Orleans+Parish%2C+LA', 'Best Things to Do near Law Offices Of Joseph C Bartels in New ...': 'https://www.yelp.com/search?find_desc=Things+to+Do&find_near=law-offices-of-joseph-c-bartels-new-orleans', 'Top 10 Best Shopping near 126 Bellamy Rd N, Toronto, ON M1J ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=817--126+Bellamy+Road+N%2C+Toronto%2C+ON+M1J+2L1%2C+Canada', 'Top 10 Best Shopping near 111 Railside Rd, 305, Toronto, ON ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=305-111+Railside+Road%2C+Toronto%2C+ON+M3A+1B3%2C+Canada', 'TOP 10 BEST Shopping near 2250 Midland Ave, Unit 29, Toronto ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=29-2250+Midland+Avenue%2C+Toronto%2C+ON+M1P+4R9%2C+Canada', 'Top 10 Best Shopping near 885 Progress Ave, 206, Toronto, ON ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=206-885+Progress+Avenue%2C+Toronto%2C+ON+M1H+3G3%2C+Canada', 'Top 10 Best Shopping near 1971 Kingston Rd, 1919, Toronto, ON ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=1919-1971+Kingston+Road%2C+Toronto%2C+ON+M1N+1G8%2C+Canada'}"
162.159.138.43,Partly cloudy,23,Toronto,"{'THE BEST 10 Kids Activities near Wilson, NY - Last Updated August ...': 'https://www.yelp.com/search?cflt=kids_activities&find_loc=Wilson%2C+NY', 'Top 10 Best Shopping near Toronto, ON M1P 1S9, Canada - July ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=Toronto%2C+ON+M1P+1S9%2C+Canada', 'Top 10 Best Shopping near 447 Bellamy Rd N, Toronto, ON ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=Bellamy+Road+N+447%2C+Toronto%2C+ON+M1H+1W2%2C+Canada', 'Top 10 Best Things to Do near City Park, New Orleans, LA - August ...': 'https://www.yelp.com/search?find_desc=things+to+do&find_loc=City+Park%2C+Orleans+Parish%2C+LA', 'Best Things to Do near Law Offices Of Joseph C Bartels in New ...': 'https://www.yelp.com/search?find_desc=Things+to+Do&find_near=law-offices-of-joseph-c-bartels-new-orleans', 'Top 10 Best Shopping near 126 Bellamy Rd N, Toronto, ON M1J ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=817--126+Bellamy+Road+N%2C+Toronto%2C+ON+M1J+2L1%2C+Canada', 'Top 10 Best Shopping near 111 Railside Rd, 305, Toronto, ON ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=305-111+Railside+Road%2C+Toronto%2C+ON+M3A+1B3%2C+Canada', 'TOP 10 BEST Shopping near 2250 Midland Ave, Unit 29, Toronto ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=29-2250+Midland+Avenue%2C+Toronto%2C+ON+M1P+4R9%2C+Canada', 'Top 10 Best Shopping near 885 Progress Ave, 206, Toronto, ON ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=206-885+Progress+Avenue%2C+Toronto%2C+ON+M1H+3G3%2C+Canada', 'Top 10 Best Shopping near 1971 Kingston Rd, 1919, Toronto, ON ...': 'https://www.yelp.com/search?find_desc=Shopping&find_loc=1919-1971+Kingston+Road%2C+Toronto%2C+ON+M1N+1G8%2C+Canada'}"
50.19.197.213,Overcast,25,Leesburg,"{'180 Indoor Activities in Leesburg, VA | TripBuzz': 'https://www.tripbuzz.com/indoor-activities/leesburg-va', 'Top 10 Best Rainy Day Activities in Leesburg, FL - August 2023 - Yelp': 'https://www.yelp.com/search?find_desc=Rainy+Day+Activities&find_loc=Leesburg%2C+FL', 'Things to do on a rainy day in Leesburg, FL': 'https://bestrainydayactivities.com/leesburg-fl/', 'Top 10 Best Things to Do Alone in Leesburg, VA - August 2023 - Yelp': 'https://www.yelp.com/search?find_desc=Things+to+Do+Alone&find_loc=Leesburg%2C+VA', ""THE BEST 10 Children's Museums in Leesburg, FL - Last Updated ..."": 'https://www.yelp.com/search?cflt=childrensmuseums&find_loc=leesburg%2C+fl', 'Things to do on a rainy day in Leesburg, VA': 'https://bestrainydayactivities.com/leesburg-va/', 'Top 10 Best Planetarium in Leesburg, VA - Last Updated August ...': 'https://www.yelp.com/search?cflt=planetarium&find_loc=Leesburg%2C+VA%2C+USA', 'Best Things to Do near Mobile Notary by Derrick Spruill in Leesburg ...': 'https://www.yelp.com/search?find_desc=Things+to+Do&find_near=mobile-notary-by-derrick-spruill-leesburg', 'Top 10 Best Things to Do near Southern Planter Ln, Leesburg, VA ...': 'https://www.yelp.com/search?find_desc=things+to+do&find_loc=Southern+Planter+Ln%2C+Leesburg%2C+VA', 'Top 10 Best Things to Do on a Rainy Day near Great Cacapon, WV ...': 'https://www.yelp.com/search?find_desc=Things+To+Do+On+A+Rainy+Day&find_loc=Great+Cacapon%2C+WV+25422'}"
54.236.144.143,Overcast,25,Leesburg,"{'180 Indoor Activities in Leesburg, VA | TripBuzz': 'https://www.tripbuzz.com/indoor-activities/leesburg-va', 'Top 10 Best Rainy Day Activities in Leesburg, FL - August 2023 - Yelp': 'https://www.yelp.com/search?find_desc=Rainy+Day+Activities&find_loc=Leesburg%2C+FL', 'Things to do on a rainy day in Leesburg, FL': 'https://bestrainydayactivities.com/leesburg-fl/', 'Top 10 Best Things to Do Alone in Leesburg, VA - August 2023 - Yelp': 'https://www.yelp.com/search?find_desc=Things+to+Do+Alone&find_loc=Leesburg%2C+VA', ""THE BEST 10 Children's Museums in Leesburg, FL - Last Updated ..."": 'https://www.yelp.com/search?cflt=childrensmuseums&find_loc=leesburg%2C+fl', 'Things to do on a rainy day in Leesburg, VA': 'https://bestrainydayactivities.com/leesburg-va/', 'Top 10 Best Planetarium in Leesburg, VA - Last Updated August ...': 'https://www.yelp.com/search?cflt=planetarium&find_loc=Leesburg%2C+VA%2C+USA', 'Best Things to Do near Mobile Notary by Derrick Spruill in Leesburg ...': 'https://www.yelp.com/search?find_desc=Things+to+Do&find_near=mobile-notary-by-derrick-spruill-leesburg', 'Top 10 Best Things to Do near Southern Planter Ln, Leesburg, VA ...': 'https://www.yelp.com/search?find_desc=things+to+do&find_loc=Southern+Planter+Ln%2C+Leesburg%2C+VA', 'Top 10 Best Things to Do on a Rainy Day near Great Cacapon, WV ...': 'https://www.yelp.com/search?find_desc=Things+To+Do+On+A+Rainy+Day&find_loc=Great+Cacapon%2C+WV+25422'}"
